"","Row.names","X","pct","mean_all","mean_threshold..4","mean_threshold..5","mean_threshold..6","peaknum","group"
"1","ATF2","ATF2",0.464951063383802,0.975742318249257,0.783847112049928,0.777401755004901,0.786481652091436,62019,"top"
"2","ATF3","ATF3",0.509776513612353,-0.619358249176649,-0.64695111118079,-0.64278838236942,-0.628912608409216,12305,"mid"
"3","BACH1","BACH1",0.370040285094515,-0.0353930053008593,-0.106906107229584,-0.107654096270862,-0.111727260391488,32270,"mid"
"4","BCL11A","BCL11A",0.175528652138822,-0.778638537590077,-0.826126755605239,-0.830687050714941,-0.829134963397516,6195,"mid"
"5","BRCA1","BRCA1",0.661917652087192,-0.482364436438223,-0.554988855252788,-0.549624686507264,-0.561593769762385,14038,"mid"
"6","BRD2","BRD2",0.138425196850394,-1.08738764401708,-1.06523464000337,-1.04794632415007,-1.05356611772625,2540,"bott"
"7","BRD4","BRD4",0.237631327602674,-1.13976021172661,-1.10779617723486,-1.09542498206893,-1.07582459966819,1047,"bott"
"8","CHD1","CHD1",0.233540952974151,-0.911715597391557,-0.91925290098528,-0.924070907188778,-0.903755920041561,6422,"bott"
"9","CHD2","CHD2",0.485393137859806,0.259614485080235,0.133351485326146,0.121087322107413,0.134471135204599,37277,"mid"
"10","CHD7","CHD7",0.337423312883436,-0.465394136672856,-0.551359919094041,-0.551781929883089,-0.552829381140186,13203,"mid"
"11","CREB1","CREB1",0.503014565126925,0.67661197050726,0.537016453882633,0.526793913815057,0.519537410578439,60075,"mid"
"12","CTBP2","CTBP2",0.368310473815461,-0.0669407177080459,-0.129688232485812,-0.128786346806693,-0.147207924814178,32080,"mid"
"13","CTCF","CTCF",1,1.49022503844324,1.47842140305865,1.48949819921477,1.49090659605353,87772.8,"top"
"14","E2F6","E2F6",0.316809490497843,0.704186659274016,0.619108214098526,0.616198180647695,0.606313374723313,68616,"mid"
"15","EGR1","EGR1",0.415475322534631,-0.0643535411809658,-0.121518537988485,-0.136170294257156,-0.132866696957546,31547,"mid"
"16","EP300","EP300",0.34758548748219,1.39570999531351,1.22841438385846,1.21549959524857,1.21024410446805,78608,"top"
"17","EZH2","EZH2",0.232649630127774,-0.894718643158694,-0.894590288931725,-0.900265891980358,-0.888596008902418,11896,"bott"
"18","FOSL1","FOSL1",0.391989174560216,-1.02631912605231,-0.993235716660662,-0.998542374665686,-1.00479375288513,3695,"bott"
"19","FOXH1","FOXH1",0.150088529453989,-0.233092777844951,-0.299787102512603,-0.305046069117855,-0.304497868646359,20897,"mid"
"20","FOXM1","FOXM1",0.336971134835904,-1.07094041322427,-1.04893721277713,-1.03853001709505,-1.05928700195629,2529,"bott"
"21","FOXP1","FOXP1",0.285961058683154,1.14293787101517,1.04528822701362,1.03638543073495,1.0371298810979,73752,"top"
"22","GABPA","GABPA",0.528592418454305,0.441939446631379,0.318903358318662,0.311328687373368,0.312459696850371,51045,"mid"
"23","GTF2F1","GTF2F1",0.519387272297137,-0.415722021401822,-0.485242538244633,-0.480786873108318,-0.465791574443813,16908,"mid"
"24","H2AZ","H2AZ",0.0610996154780554,2.19058035124479,2.20218180911655,2.22260347873347,2.22308709382458,119369,"top"
"25","HDAC2","HDAC2",0.311765181531495,-0.210917656728175,-0.235529684656893,-0.248641346397018,-0.266126509287362,37101,"mid"
"26","HDAC6","HDAC6",0.262363455809335,-1.13662754823259,-1.07488292323239,-1.12162355270734,-1.08193046292858,1007,"bott"
"27","JUN","JUN",0.373688064437393,-0.783556786034919,-0.810048660067241,-0.80571870035594,-0.81612054217964,8194,"mid"
"28","JUND","JUND",0.45171316913569,0.875198581986094,0.710125398942267,0.70335718849389,0.705026283400193,55015,"top"
"29","KDM4A","KDM4A",0.286598108227013,-0.471136139828582,-0.456314325829447,-0.470949351852639,-0.47506124968751,36368,"mid"
"30","KDM5A","KDM5A",0.375863723608445,-0.968271561559786,-0.960568662574792,-0.96221214373189,-0.966811052704284,4168,"bott"
"31","KDM5B","KDM5B",0.163463065925338,-1.14044405499895,-1.10607580920916,-1.09414975132973,-1.13931676774368,1259,"bott"
"32","KLF5","KLF5",0.129918337045286,-1.04829126711583,-1.03557064469309,-1.03148763237931,-1.03601221776069,2694,"bott"
"33","LEF1","LEF1",0.109446598519563,-0.571525462793396,-0.634335660681294,-0.628016329260304,-0.634728488295396,11348,"mid"
"34","MAFK","MAFK",0.222761275328637,0.0955968336700748,0.0342207233623575,0.0336843632982112,0.0461612121826577,27538,"mid"
"35","MAX","MAX",0.349045136494451,1.4477948500798,1.29526310108332,1.2932221221356,1.27639979020846,108759,"top"
"36","MED1","MED1",0.115715896279594,-0.785770679044106,-0.840487587285354,-0.834824154388733,-0.815201316810718,8870,"mid"
"37","MORC2","MORC2",0.181601696297504,-0.943617729612192,-0.93549073388145,-0.937505626246009,-0.949394407173313,6131,"bott"
"38","MPHOSPH8","MPHOSPH8",0.116569525395504,-1.09746450191373,-1.08160594101687,-1.10197190110042,-1.1100497789207,1201,"bott"
"39","MXI1","MXI1",0.477909649221958,-0.147769570848675,-0.244814070455888,-0.249698926505827,-0.239942869341282,26541,"mid"
"40","MYC","MYC",0.504480295689526,-0.341616875083889,-0.420464399757445,-0.408312751978576,-0.409126881630453,20021,"mid"
"41","NANOG","NANOG",0.165512423669409,2.44319795957187,2.33194726251409,2.31950487076029,2.31535593649924,83027,"top"
"42","NIPBL","NIPBL",0.273888856862858,1.12184876984027,0.968353911574918,0.943236545088739,0.942143701545456,69388,"top"
"43","NRF1","NRF1",0.334382871536524,-0.8410485188341,-0.846143097974958,-0.836617578445482,-0.837320382457027,6352,"bott"
