"","Row.names","X","pct","mean_all","mean_threshold..4","mean_threshold..5","mean_threshold..6","peaknum","group"
"62","SMARCA4","SMARCA4",0.348209366391185,1.44285271050185,1.24619967582848,1.24030594951776,1.24104707628619,68244,"top"
"63","SMC1A","SMC1A",0.89419236711106,-0.310995023404669,-0.439991982269612,-0.421563317786847,-0.400482952377292,17477,"mid"
"64","SMC3","SMC3",0.926714311892981,0.0905501514864541,-0.100529338705388,-0.0856918163130424,-0.0570415455736569,27285,"mid"
"65","SOX2","SOX2",0.178076463560335,-0.490998857619429,-0.574404548230459,-0.549376770857906,-0.559719802993776,10044,"mid"
"66","SP1","SP1",0.304116504854369,0.950387572526603,0.81608102265557,0.803001763324145,0.801776175353222,66950,"top"
"67","SP2","SP2",0.35211601065404,-0.9655592687726,-0.953973248654211,-0.93994883374421,-0.937821262679672,3379,"bott"
"68","SP4","SP4",0.54789116296863,0.372171956283627,0.218617414543554,0.210221908608269,0.224242132899379,41824,"mid"
"69","SRF","SRF",0.843560304649312,1.17241739295414,0.955701006108942,0.973763469836641,0.98687096781787,61579,"top"
"70","SSU72","SSU72",0.291987375009946,0.495301722396151,0.341401905123346,0.341779719515556,0.349371988608959,37703,"mid"
"71","SUZ12","SUZ12",0.271897345479479,-0.910973494465764,-0.912576485821656,-0.9086497221741,-0.902452934412834,10209,"bott"
"72","TAF1","TAF1",0.34856897661446,-0.484922333330837,-0.508215136817141,-0.512969431148375,-0.513778870762746,23305,"mid"
"73","TAF7","TAF7",0.466556710888012,0.0867327957694241,-0.00649467221625995,-0.0202095572425294,-0.0200970817082297,41835,"mid"
"74","TAFII","TAFII",0.354082278481013,-0.810342129422433,-0.829972204038921,-0.823695051852039,-0.826218955717972,6320,"bott"
"75","TAL1","TAL1",0.174652087475149,-0.90774592952183,-0.889780677187551,-0.910840814772715,-0.896718501105721,2012,"bott"
"76","TBP","TBP",0.443786569728357,0.0561926287386344,-0.0298092657104903,-0.0380212922170814,-0.0395192060221181,40163,"mid"
"77","TCF12","TCF12",0.385090929778317,0.640832662107853,0.527031554201435,0.511305547753279,0.50219967603026,52733,"mid"
"78","TCF4","TCF4",0.079912216532553,-0.783241090834517,-0.826870397208092,-0.823039081462127,-0.823185255954223,6835,"mid"
"79","TCF7L1","TCF7L1",0.121345291479821,-1.11054326407589,-1.07655424748477,-1.06631229463578,-1.08007555474404,2230,"bott"
"80","TEAD4","TEAD4",0.323462894577622,1.82549723289754,1.66517048781996,1.64307405779572,1.64716230126897,95862,"top"
"81","THAP11","THAP11",0.230891878425511,-0.997720334828724,-0.96759368174143,-0.942736486373704,-0.943238180826325,2007,"bott"
"82","TP53","TP53",0.222314622314622,-1.10900950178992,-1.07369032450618,-1.08141991598505,-1.09172042399787,1443,"bott"
"83","TRIM28","TRIM28",0.154305462923665,1.54358697889439,1.62690157741903,1.60423875175314,1.57036679252914,82465,"top"
"84","USF1","USF1",0.187602521899236,1.27703264808344,1.20002772734981,1.19108000012073,1.18929973395789,71692,"top"
"85","USF2","USF2",0.376336131265709,-0.302401829132979,-0.347413716792512,-0.34795491349272,-0.349252849702499,21087,"mid"
"86","YY1","YY1",0.373651201241421,1.77418454670041,1.62654408180717,1.6191666830945,1.59467477268641,108263,"top"
"87","ZFP42","ZFP42",0.2564152791381,-1.14172229281335,-1.10761529490076,-1.11352910473248,-1.09903388734232,1021,"bott"
"88","ZNF143","ZNF143",0.515534773924097,1.62017065003303,1.46461971095616,1.46437095504051,1.46776474109767,88112,"top"
"89","ZNF274","ZNF274",0.113404657016992,-0.652194492282472,-0.862027381283071,-0.808771778875592,-0.793718808894745,1589,"mid"
"90","ZNF486","ZNF486",0.0192018204095922,-0.679269185986544,-0.594777984693129,-0.589149092820444,-0.627572788278744,11426,"mid"
